CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9192 max-Emeasure || 0.8698 S-measure  || 0.8563 max-fm || 0.0683 mae || 0.8810 mean-Emeasure || 0.8218 mean-fm.  # teacher backbone (100 epoch)
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9346 max-Emeasure || 0.8956 S-measure  || 0.8936 max-fm || 0.0621 mae || 0.9110 mean-Emeasure || 0.8605 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7735 max-Emeasure || 0.7263 S-measure  || 0.5787 max-fm || 0.0896 mae || 0.7122 mean-Emeasure || 0.5290 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7961 max-Emeasure || 0.7387 S-measure  || 0.6118 max-fm || 0.0878 mae || 0.7290 mean-Emeasure || 0.5502 mean-fm. # 0.0
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9373 max-Emeasure || 0.8922 S-measure  || 0.8950 max-fm || 0.0651 mae || 0.9049 mean-Emeasure || 0.8529 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9041 max-Emeasure || 0.8526 S-measure  || 0.8322 max-fm || 0.0769 mae || 0.8584 mean-Emeasure || 0.7966 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9028 max-Emeasure || 0.8532 S-measure  || 0.8311 max-fm || 0.0746 mae || 0.8611 mean-Emeasure || 0.7986 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9028 max-Emeasure || 0.8532 S-measure  || 0.8311 max-fm || 0.0746 mae || 0.8611 mean-Emeasure || 0.7986 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9427 max-Emeasure || 0.8972 S-measure  || 0.8964 max-fm || 0.0623 mae || 0.9112 mean-Emeasure || 0.8583 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8045 max-Emeasure || 0.7497 S-measure  || 0.6259 max-fm || 0.0802 mae || 0.7423 mean-Emeasure || 0.5655 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7976 max-Emeasure || 0.7410 S-measure  || 0.6004 max-fm || 0.0784 mae || 0.7352 mean-Emeasure || 0.5461 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9357 max-Emeasure || 0.8952 S-measure  || 0.8928 max-fm || 0.0610 mae || 0.9124 mean-Emeasure || 0.8602 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9013 max-Emeasure || 0.8566 S-measure  || 0.8377 max-fm || 0.0717 mae || 0.8669 mean-Emeasure || 0.8087 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9074 max-Emeasure || 0.8599 S-measure  || 0.8415 max-fm || 0.0706 mae || 0.8738 mean-Emeasure || 0.8129 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9035 max-Emeasure || 0.8553 S-measure  || 0.8363 max-fm || 0.0712 mae || 0.8677 mean-Emeasure || 0.8097 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9397 max-Emeasure || 0.8975 S-measure  || 0.8969 max-fm || 0.0581 mae || 0.9174 mean-Emeasure || 0.8677 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9294 max-Emeasure || 0.8899 S-measure  || 0.8833 max-fm || 0.0644 mae || 0.9075 mean-Emeasure || 0.8567 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9060 max-Emeasure || 0.8576 S-measure  || 0.8405 max-fm || 0.0725 mae || 0.8650 mean-Emeasure || 0.8099 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7555 max-Emeasure || 0.7064 S-measure  || 0.5373 max-fm || 0.1000 mae || 0.6891 mean-Emeasure || 0.4968 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7742 max-Emeasure || 0.7207 S-measure  || 0.5653 max-fm || 0.0897 mae || 0.7097 mean-Emeasure || 0.5193 mean-fm. # 🐶 teacher backbone ep98.pth
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9344 max-Emeasure || 0.8916 S-measure  || 0.8890 max-fm || 0.0634 mae || 0.9098 mean-Emeasure || 0.8585 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8976 max-Emeasure || 0.8502 S-measure  || 0.8303 max-fm || 0.0763 mae || 0.8579 mean-Emeasure || 0.8001 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8077 max-Emeasure || 0.7417 S-measure  || 0.6017 max-fm || 0.0769 mae || 0.7361 mean-Emeasure || 0.5471 mean-fm.  # 🐶 teacher backbone_cam best_ep55_Smeasure0.8505.pth
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9358 max-Emeasure || 0.8954 S-measure  || 0.8935 max-fm || 0.0603 mae || 0.9130 mean-Emeasure || 0.8619 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9074 max-Emeasure || 0.8599 S-measure  || 0.8415 max-fm || 0.0706 mae || 0.8738 mean-Emeasure || 0.8129 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9369 max-Emeasure || 0.8987 S-measure  || 0.8996 max-fm || 0.0583 mae || 0.9170 mean-Emeasure || 0.8709 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9486 max-Emeasure || 0.9134 S-measure  || 0.9159 max-fm || 0.0491 mae || 0.9307 mean-Emeasure || 0.8926 mean-fm. # 🐶 teacher backbone_pred best_ep84_Smeasure0.8487.pth
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9231 max-Emeasure || 0.8739 S-measure  || 0.8722 max-fm || 0.0611 mae || 0.8847 mean-Emeasure || 0.8449 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8016 max-Emeasure || 0.7529 S-measure  || 0.6160 max-fm || 0.0751 mae || 0.7502 mean-Emeasure || 0.5780 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8068 max-Emeasure || 0.7330 S-measure  || 0.6139 max-fm || 0.0885 mae || 0.7139 mean-Emeasure || 0.5389 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9447 max-Emeasure || 0.9020 S-measure  || 0.9086 max-fm || 0.0582 mae || 0.9160 mean-Emeasure || 0.8675 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.7661 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.7661 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.7661 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.7661 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.7661 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.8867 max-Emeasure || 0.7661 S-measure  || 0.8245 max-fm || 0.1379 mae || 0.7205 mean-Emeasure || 0.6897 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9459 max-Emeasure || 0.9121 S-measure  || 0.9157 max-fm || 0.0503 mae || 0.9273 mean-Emeasure || 0.8870 mean-fm. # 🐶 teacher backbone_fusion best_ep84_Smeasure0.8487
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8140 max-Emeasure || 0.7533 S-measure  || 0.6382 max-fm || 0.0781 mae || 0.7417 mean-Emeasure || 0.5755 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9148 max-Emeasure || 0.8757 S-measure  || 0.8635 max-fm || 0.0605 mae || 0.8851 mean-Emeasure || 0.8370 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9407 max-Emeasure || 0.9071 S-measure  || 0.9107 max-fm || 0.0535 mae || 0.9232 mean-EmeasuSSSSre || 0.8870 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9498 max-Emeasure || 0.9119 S-measure  || 0.9155 max-fm || 0.0476 mae || 0.9315 mean-Emeasure || 0.8905 mean-fm. # 🐶 teacher backbone_cam_pred best_ep67_Smeasure0.8473.pth
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9150 max-Emeasure || 0.8710 S-measure  || 0.8618 max-fm || 0.0621 mae || 0.8799 mean-Emeasure || 0.8375 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8033 max-Emeasure || 0.7571 S-measure  || 0.6247 max-fm || 0.0758 mae || 0.7475 mean-Emeasure || 0.5800 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8160 max-Emeasure || 0.7609 S-measure  || 0.6571 max-fm || 0.0739 mae || 0.7529 mean-Emeasure || 0.5928 mean-fm.# 🐶 teacher backbone_cam_fusion best_ep58_Smeasure0.8637.pth
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9467 max-Emeasure || 0.9120 S-measure  || 0.9166 max-fm || 0.0500 mae || 0.9287 mean-Emeasure || 0.8893 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9205 max-Emeasure || 0.8793 S-measure  || 0.8712 max-fm || 0.0611 mae || 0.8861 mean-Emeasure || 0.8415 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9252 max-Emeasure || 0.8700 S-measure  || 0.8743 max-fm || 0.0649 mae || 0.8712 mean-Emeasure || 0.8350 mean-fm. # 🐶 teacher backbone_pred_fusion best_ep42_Smeasure0.8639.pth
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9410 max-Emeasure || 0.9049 S-measure  || 0.9071 max-fm || 0.0532 mae || 0.9164 mean-Emeasure || 0.8818 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8257 max-Emeasure || 0.7766 S-measure  || 0.6464 max-fm || 0.0641 mae || 0.7636 mean-Emeasure || 0.5974 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8052 max-Emeasure || 0.7619 S-measure  || 0.6321 max-fm || 0.0734 mae || 0.7423 mean-Emeasure || 0.5807 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8009 max-Emeasure || 0.6984 S-measure  || 0.5664 max-fm || 0.0941 mae || 0.7315 mean-Emeasure || 0.5052 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9085 max-Emeasure || 0.8366 S-measure  || 0.8438 max-fm || 0.0862 mae || 0.8872 mean-Emeasure || 0.8062 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8564 max-Emeasure || 0.7770 S-measure  || 0.7571 max-fm || 0.0993 mae || 0.8274 mean-Emeasure || 0.7328 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.3181 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9494 max-Emeasure || 0.9140 S-measure  || 0.9177 max-fm || 0.0470 mae || 0.9335 mean-Emeasure || 0.8964 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9425 max-Emeasure || 0.9067 S-measure  || 0.9060 max-fm || 0.0521 mae || 0.9241 mean-Emeasure || 0.8817 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9439 max-Emeasure || 0.9079 S-measure  || 0.9104 max-fm || 0.0517 mae || 0.9253 mean-Emeasure || 0.8864 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9364 max-Emeasure || 0.8992 S-measure  || 0.9011 max-fm || 0.0582 mae || 0.9164 mean-Emeasure || 0.8723 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7690 max-Emeasure || 0.7255 S-measure  || 0.5783 max-fm || 0.0921 mae || 0.7034 mean-Emeasure || 0.5334 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9493 max-Emeasure || 0.9084 S-measure  || 0.9143 max-fm || 0.0500 mae || 0.9259 mean-Emeasure || 0.8923 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9528 max-Emeasure || 0.9147 S-measure  || 0.9204 max-fm || 0.0445 mae || 0.9348 mean-Emeasure || 0.9021 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7979 max-Emeasure || 0.7616 S-measure  || 0.6286 max-fm || 0.0740 mae || 0.7518 mean-Emeasure || 0.5907 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8132 max-Emeasure || 0.7637 S-measure  || 0.6377 max-fm || 0.0708 mae || 0.7571 mean-Emeasure || 0.5927 mean-fm. # 🐶 teacher backbone_cam_pred  ep98
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9495 max-Emeasure || 0.9140 S-measure  || 0.9175 max-fm || 0.0455 mae || 0.9327 mean-Emeasure || 0.8989 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9331 max-Emeasure || 0.8793 S-measure  || 0.8911 max-fm || 0.0586 mae || 0.8877 mean-Emeasure || 0.8594 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9094 max-Emeasure || 0.8685 S-measure  || 0.8568 max-fm || 0.0643 mae || 0.8759 mean-Emeasure || 0.8313 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9524 max-Emeasure || 0.9156 S-measure  || 0.9220 max-fm || 0.0477 mae || 0.9322 mean-Emeasure || 0.8914 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7851 max-Emeasure || 0.7416 S-measure  || 0.6036 max-fm || 0.0831 mae || 0.7230 mean-Emeasure || 0.5562 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9494 max-Emeasure || 0.9140 S-measure  || 0.9177 max-fm || 0.0470 mae || 0.9335 mean-Emeasure || 0.8964 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9425 max-Emeasure || 0.9067 S-measure  || 0.9060 max-fm || 0.0521 mae || 0.9241 mean-Emeasure || 0.8817 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9439 max-Emeasure || 0.9079 S-measure  || 0.9104 max-fm || 0.0517 mae || 0.9253 mean-Emeasure || 0.8864 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9364 max-Emeasure || 0.8992 S-measure  || 0.9011 max-fm || 0.0582 mae || 0.9164 mean-Emeasure || 0.8723 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7690 max-Emeasure || 0.7255 S-measure  || 0.5783 max-fm || 0.0921 mae || 0.7034 mean-Emeasure || 0.5334 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7825 max-Emeasure || 0.7366 S-measure  || 0.5863 max-fm || 0.0815 mae || 0.7261 mean-Emeasure || 0.5519 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9493 max-Emeasure || 0.9084 S-measure  || 0.9143 max-fm || 0.0500 mae || 0.9259 mean-Emeasure || 0.8923 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9469 max-Emeasure || 0.9024 S-measure  || 0.9126 max-fm || 0.0514 mae || 0.9207 mean-Emeasure || 0.8906 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7775 max-Emeasure || 0.7335 S-measure  || 0.5872 max-fm || 0.0816 mae || 0.7267 mean-Emeasure || 0.5508 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9348 max-Emeasure || 0.8682 S-measure  || 0.8900 max-fm || 0.0619 mae || 0.8780 mean-Emeasure || 0.8527 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9207 max-Emeasure || 0.8727 S-measure  || 0.8681 max-fm || 0.0622 mae || 0.8858 mean-Emeasure || 0.8442 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9206 max-Emeasure || 0.8779 S-measure  || 0.8713 max-fm || 0.0585 mae || 0.8908 mean-Emeasure || 0.8500 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9318 max-Emeasure || 0.8690 S-measure  || 0.8844 max-fm || 0.0605 mae || 0.8791 mean-Emeasure || 0.8514 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9298 max-Emeasure || 0.8898 S-measure  || 0.8847 max-fm || 0.0548 mae || 0.9047 mean-Emeasure || 0.8602 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9291 max-Emeasure || 0.8543 S-measure  || 0.8805 max-fm || 0.0670 mae || 0.8596 mean-Emeasure || 0.8348 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9491 max-Emeasure || 0.9097 S-measure  || 0.9179 max-fm || 0.0478 mae || 0.9290 mean-Emeasure || 0.8984 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9538 max-Emeasure || 0.9158 S-measure  || 0.9224 max-fm || 0.0463 mae || 0.9352 mean-Emeasure || 0.8918 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9542 max-Emeasure || 0.9172 S-measure  || 0.9220 max-fm || 0.0443 mae || 0.9371 mean-Emeasure || 0.8999 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9427 max-Emeasure || 0.9098 S-measure  || 0.9083 max-fm || 0.0510 mae || 0.9251 mean-Emeasure || 0.8836 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9397 max-Emeasure || 0.9066 S-measure  || 0.9044 max-fm || 0.0530 mae || 0.9220 mean-Emeasure || 0.8813 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7936 max-Emeasure || 0.7526 S-measure  || 0.6115 max-fm || 0.0750 mae || 0.7391 mean-Emeasure || 0.5729 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7997 max-Emeasure || 0.7476 S-measure  || 0.6073 max-fm || 0.0778 mae || 0.7315 mean-Emeasure || 0.5657 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9348 max-Emeasure || 0.9012 S-measure  || 0.8988 max-fm || 0.0568 mae || 0.9175 mean-Emeasure || 0.8753 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9243 max-Emeasure || 0.8813 S-measure  || 0.8753 max-fm || 0.0592 mae || 0.8926 mean-Emeasure || 0.8476 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9156 max-Emeasure || 0.8734 S-measure  || 0.8659 max-fm || 0.0636 mae || 0.8834 mean-Emeasure || 0.8387 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9529 max-Emeasure || 0.9157 S-measure  || 0.9183 max-fm || 0.0465 mae || 0.9316 mean-Emeasure || 0.8903 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9491 max-Emeasure || 0.9144 S-measure  || 0.9162 max-fm || 0.0483 mae || 0.9296 mean-Emeasure || 0.8879 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9446 max-Emeasure || 0.9120 S-measure  || 0.9139 max-fm || 0.0526 mae || 0.9219 mean-Emeasure || 0.8850 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9128 max-Emeasure || 0.8698 S-measure  || 0.8585 max-fm || 0.0679 mae || 0.8707 mean-Emeasure || 0.8236 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8053 max-Emeasure || 0.7395 S-measure  || 0.6312 max-fm || 0.0858 mae || 0.7221 mean-Emeasure || 0.5590 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7884 max-Emeasure || 0.7292 S-measure  || 0.6129 max-fm || 0.0930 mae || 0.7061 mean-Emeasure || 0.5420 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7702 max-Emeasure || 0.7296 S-measure  || 0.5763 max-fm || 0.0915 mae || 0.7099 mean-Emeasure || 0.5403 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8189 max-Emeasure || 0.7511 S-measure  || 0.6294 max-fm || 0.0747 mae || 0.7423 mean-Emeasure || 0.5749 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9557 max-Emeasure || 0.9185 S-measure  || 0.9275 max-fm || 0.0424 mae || 0.9378 mean-Emeasure || 0.9087 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9540 max-Emeasure || 0.9096 S-measure  || 0.9219 max-fm || 0.0483 mae || 0.9251 mean-Emeasure || 0.8975 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9542 max-Emeasure || 0.9140 S-measure  || 0.9186 max-fm || 0.0473 mae || 0.9312 mean-Emeasure || 0.8934 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9538 max-Emeasure || 0.9158 S-measure  || 0.9224 max-fm || 0.0463 mae || 0.9352 mean-Emeasure || 0.8918 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9464 max-Emeasure || 0.9090 S-measure  || 0.9153 max-fm || 0.0510 mae || 0.9273 mean-Emeasure || 0.8936 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7780 max-Emeasure || 0.7282 S-measure  || 0.5787 max-fm || 0.0880 mae || 0.7207 mean-Emeasure || 0.5407 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7558 max-Emeasure || 0.7254 S-measure  || 0.5644 max-fm || 0.0949 mae || 0.7049 mean-Emeasure || 0.5345 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7711 max-Emeasure || 0.7200 S-measure  || 0.5620 max-fm || 0.0938 mae || 0.7016 mean-Emeasure || 0.5217 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7712 max-Emeasure || 0.7295 S-measure  || 0.5870 max-fm || 0.0924 mae || 0.7120 mean-Emeasure || 0.5436 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7875 max-Emeasure || 0.7400 S-measure  || 0.5852 max-fm || 0.0771 mae || 0.7398 mean-Emeasure || 0.5538 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9491 max-Emeasure || 0.9097 S-measure  || 0.9179 max-fm || 0.0478 mae || 0.9290 mean-Emeasure || 0.8984 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9492 max-Emeasure || 0.9100 S-measure  || 0.9145 max-fm || 0.0506 mae || 0.9277 mean-Emeasure || 0.8806 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8037 max-Emeasure || 0.7489 S-measure  || 0.6110 max-fm || 0.0794 mae || 0.7355 mean-Emeasure || 0.5611 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9169 max-Emeasure || 0.8771 S-measure  || 0.8666 max-fm || 0.0606 mae || 0.8885 mean-Emeasure || 0.8408 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9344 max-Emeasure || 0.8800 S-measure  || 0.8879 max-fm || 0.0576 mae || 0.8861 mean-Emeasure || 0.8547 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9231 max-Emeasure || 0.8739 S-measure  || 0.8722 max-fm || 0.0611 mae || 0.8847 mean-Emeasure || 0.8449 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9183 max-Emeasure || 0.8689 S-measure  || 0.8668 max-fm || 0.0620 mae || 0.8822 mean-Emeasure || 0.8434 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9221 max-Emeasure || 0.8732 S-measure  || 0.8699 max-fm || 0.0613 mae || 0.8860 mean-Emeasure || 0.8451 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9293 max-Emeasure || 0.8851 S-measure  || 0.8799 max-fm || 0.0571 mae || 0.8991 mean-Emeasure || 0.8570 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9324 max-Emeasure || 0.8787 S-measure  || 0.8833 max-fm || 0.0605 mae || 0.8873 mean-Emeasure || 0.8531 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9297 max-Emeasure || 0.8764 S-measure  || 0.8820 max-fm || 0.0613 mae || 0.8886 mean-Emeasure || 0.8551 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9207 max-Emeasure || 0.8727 S-measure  || 0.8681 max-fm || 0.0622 mae || 0.8858 mean-Emeasure || 0.8442 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9263 max-Emeasure || 0.8755 S-measure  || 0.8758 max-fm || 0.0622 mae || 0.8862 mean-Emeasure || 0.8482 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9327 max-Emeasure || 0.8833 S-measure  || 0.8875 max-fm || 0.0576 mae || 0.8943 mean-Emeasure || 0.8606 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9342 max-Emeasure || 0.8762 S-measure  || 0.8890 max-fm || 0.0595 mae || 0.8862 mean-Emeasure || 0.8581 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9348 max-Emeasure || 0.8682 S-measure  || 0.8900 max-fm || 0.0619 mae || 0.8780 mean-Emeasure || 0.8527 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9294 max-Emeasure || 0.8709 S-measure  || 0.8821 max-fm || 0.0619 mae || 0.8814 mean-Emeasure || 0.8508 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9254 max-Emeasure || 0.8829 S-measure  || 0.8780 max-fm || 0.0586 mae || 0.8965 mean-Emeasure || 0.8512 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9254 max-Emeasure || 0.8625 S-measure  || 0.8780 max-fm || 0.0623 mae || 0.8693 mean-Emeasure || 0.8428 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9170 max-Emeasure || 0.8744 S-measure  || 0.8673 max-fm || 0.0620 mae || 0.8817 mean-Emeasure || 0.8404 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9290 max-Emeasure || 0.8843 S-measure  || 0.8845 max-fm || 0.0567 mae || 0.8960 mean-Emeasure || 0.8599 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9267 max-Emeasure || 0.8773 S-measure  || 0.8797 max-fm || 0.0604 mae || 0.8860 mean-Emeasure || 0.8505 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9270 max-Emeasure || 0.8768 S-measure  || 0.8786 max-fm || 0.0598 mae || 0.8876 mean-Emeasure || 0.8527 mean-fm.
